mapping_id,category,bigquery_syntax,databricks_sql_syntax,searchable_content,example_bq,example_dbsql
146,Special Functions,GEOGRAPHY functions (ST_*),Use third-party libraries or convert to WKT,Special Functions|GEOGRAPHY,"SELECT ST_DISTANCE(geo1, geo2)",Use Sedona or H3 libraries
147,Special Functions,WITH differential_privacy_clause,Not supported,Special Functions|WITH,SELECT COUNT(*) WITH differential_privacy,Not available in Databricks SQL
148,JSON Functions,"JSON_EXTRACT_SCALAR(item, '$.name')","get_json_object(item, '$.name')",JSON Functions|JSON_EXTRACT_SCALAR,"SELECT JSON_EXTRACT_SCALAR(item, '$.name') AS product_name, JSON_EXTRACT_SCALAR(item, '$.price') AS price FROM table, UNNEST(JSON_EXTRACT_ARRAY(json_data, '$.orders')) AS order_data, 
UNNEST(JSON_EXTRACT_ARRAY(order_data, '$.items')) AS item","SELECT get_json_object(item.value, '$.name') AS product_name, get_json_object(item.value, '$.price') AS price FROM table LATERAL VIEW explode( from_json(get_json_object(json_data, '$.orders'), 'array<string>') ) orders AS order_data LATERAL VIEW explode( from_json(get_json_object(order_data, '$.items'), 'array<string>') ) items AS item"
149,JSON Functions,JSON_EXTRACT_ARRAY,"FROM_JSON(json_string, schema)",JSON Functions|JSON_EXTRACT_ARRAY,"Select JSON_EXTRACT_ARRAY(event_data, '$.products') as products_array","SELECT get_json_object(event_data, '$.products') as products_array"
150,Special Functions,ARRAY,transform,Special Functions|ARRAY,"Select ARRAY( SELECT CAST(JSON_EXTRACT_SCALAR(product, '$.price') AS FLOAT64) FROM UNNEST(products_array) as product WHERE JSON_EXTRACT_SCALAR(product, '$.price') IS NOT NULL ) as product_prices","SELECT transform( filter( products_array, product -> get_json_object(product, '$.price') IS NOT NULL ), product -> CAST(get_json_object(product, '$.price') AS DOUBLE) ) as product_prices"
151,Special Functions,Struct,named_struct,Special Functions|Struct,"Select STRUCT(order_amount as avg_amount,min_order_amount as 
min_amount,max_order_amount as max_amount)","Select named_struct( 'avg_amount', order_amount, 'min_amount',min_order_amount,'max_amount', max_order_amount)"
152,Date/Time Functions,"TIMESTAMP_TRUNC(ts, HOUR)","DATE_TRUNC('HOUR', ts)",Date/Time Functions|TIMESTAMP_TRUNC,"SELECT TIMESTAMP_TRUNC(TIMESTAMP '2023-05-15 12:34:56', HOUR)","SELECT DATE_TRUNC('HOUR', TIMESTAMP '2023-05-15 12:34:56')"
153,Date/Time Functions,"DATETIME_DIFF(end_dt, start_dt, MINUTE)","TIMESTAMPDIFF(MINUTE, start_dt, end_dt)",Date/Time Functions|DATETIME_DIFF,"SELECT DATETIME_DIFF('2023-01-01 00:10:00', '2023-01-01 00:00:00', MINUTE)","SELECT TIMESTAMPDIFF(MINUTE, '2023-01-01 00:00:00', '2023-01-01 00:10:00')"
154,String/Bit Functions,TO_HEX(255),HEX(255),String/Bit Functions|TO_HEX,SELECT TO_HEX(255),SELECT HEX(255)
155,String/Bit Functions,FROM_HEX('FF'),UNHEX('FF'),String/Bit Functions|FROM_HEX,SELECT FROM_HEX('FF'),SELECT UNHEX('FF')
156,Hash Functions,FARM_FINGERPRINT(expr),xxhash64(expr),Hash Functions|FARM_FINGERPRINT,SELECT FARM_FINGERPRINT('abc'),SELECT xxhash64('abc')
157,Special Functions,GENERATE_UUID(),uuid(),Special Functions|GENERATE_UUID,SELECT GENERATE_UUID(),SELECT uuid()
158,Array Functions,SAFE_OFFSET(3),CASE WHEN 3 < SIZE(array) THEN array[3] ELSE NULL END,Array Functions|SAFE_OFFSET,SELECT arr[SAFE_OFFSET(3)] FROM my_table,SELECT CASE WHEN 3 < SIZE(arr) THEN arr[3] ELSE NULL END FROM my_table
159,Date/Time Functions,"PARSE_TIMESTAMP('%c', datetime_str)","TO_TIMESTAMP(datetime_str, 'EEE MMM dd HH:mm:ss yyyy')",Date/Time Functions|PARSE_TIMESTAMP,"SELECT PARSE_TIMESTAMP('%c', 'Mon Jul 11 18:30:00 2025')","SELECT TO_TIMESTAMP('Mon Jul 11 18:30:00 2025', 'EEE MMM dd HH:mm:ss yyyy')"
160,Date/Time Functions,"FORMAT_TIMESTAMP('%Y-%m-%d %H:%M:%S', ts)","DATE_FORMAT(ts, 'yyyy-MM-dd HH:mm:ss')",Date/Time Functions|FORMAT_TIMESTAMP,"SELECT FORMAT_TIMESTAMP('%Y-%m-%d %H:%M:%S', CURRENT_TIMESTAMP())","SELECT DATE_FORMAT(CURRENT_TIMESTAMP(), 'yyyy-MM-dd HH:mm:ss')"
161,String Functions,"REGEXP_EXTRACT_ALL(str, pattern)","regexp_extract_all(str, pattern)",String Functions|REGEXP_EXTRACT_ALL,"SELECT REGEXP_EXTRACT_ALL('a1b2', r'(\d)')","SELECT regexp_extract_all('a1b2', '(\\d)')"
162,Aggregate Functions,COUNTIF(condition),COUNT_IF(condition),Aggregate Functions|COUNTIF,SELECT COUNTIF(score > 90) FROM test_scores,SELECT COUNT_IF(score > 90) FROM test_scores
163,Syntax Differences,TABLESAMPLE SYSTEM (10 PERCENT),TABLESAMPLE(10 PERCENT),Syntax Differences|TABLESAMPLE,SELECT * FROM my_table TABLESAMPLE SYSTEM (10 PERCENT),SELECT * FROM my_table TABLESAMPLE(10 PERCENT)
164,Special Functions,"STRUCT(col1 AS a, col2 AS b)","named_struct('a', col1, 'b', col2)",Special Functions|STRUCT,"SELECT STRUCT(col1 AS a, col2 AS b) AS my_struct FROM my_table","SELECT named_struct('a', col1, 'b', col2) AS my_struct FROM my_table"
165,Array Functions,ARRAY_CONCAT_AGG(arr_col),flatten(collect_list(arr_col)),Array Functions|ARRAY_CONCAT_AGG,SELECT ARRAY_CONCAT_AGG(arr_col) FROM table_with_arrays,SELECT flatten(collect_list(arr_col)) FROM table_with_arrays
166,Aggregate Functions,BIT_AND(flag),bit_and(flag),Aggregate Functions|BIT_AND,SELECT BIT_AND(flag) FROM flags_table,SELECT bit_and(flag) FROM flags_table
167,Date/Time Functions,"TIMESTAMP_ADD(ts, INTERVAL 90 MINUTE)",ts + INTERVAL 90 MINUTES,Date/Time Functions|TIMESTAMP_ADD,"SELECT TIMESTAMP_ADD(TIMESTAMP '2023-01-01 00:00:00', INTERVAL 90 MINUTE)",SELECT TIMESTAMP '2023-01-01 00:00:00' + INTERVAL 90 MINUTES
168,Date/Time Functions,"TIMESTAMP_SUB(ts, INTERVAL 2 DAY)",ts - INTERVAL 2 DAYS,Date/Time Functions|TIMESTAMP_SUB,"SELECT TIMESTAMP_SUB(TIMESTAMP '2023-01-03 00:00:00', INTERVAL 2 DAY)",SELECT TIMESTAMP '2023-01-03 00:00:00' - INTERVAL 2 DAYS
169,Date/Time Functions,"DATETIME_BUCKET(datetime, interval)","DATE_TRUNC(interval, datetime)",Date/Time Functions|DATETIME_BUCKET,"SELECT DATETIME_BUCKET('2023-01-15 12:30:45', INTERVAL 1 HOUR)","SELECT DATE_TRUNC('HOUR', '2023-01-15 12:30:45')"
170,Date/Time Functions,"DATE_BUCKET(date, interval)","DATE_TRUNC(interval, date)",Date/Time Functions|DATE_BUCKET,"SELECT DATE_BUCKET('2023-01-15', INTERVAL 1 MONTH)","SELECT DATE_TRUNC('MONTH', '2023-01-15')"
171,Array Functions,UNNEST(arr) AS elem WITH OFFSET pos,"POSEXPLODE(arr) AS (pos, elem)",Array Functions|UNNEST,"SELECT pos, elem FROM my_table, UNNEST(arr) AS elem WITH OFFSET pos","SELECT pos, elem FROM my_table LATERAL VIEW POSEXPLODE(arr) t AS pos, elem"
172,Special Functions,LOGICAL_AND(expr),BOOL_AND(expr),Special Functions|LOGICAL_AND,SELECT LOGICAL_AND(flag) FROM table,SELECT BOOL_AND(flag) FROM table
173,Special Functions,LOGICAL_OR(expr),BOOL_OR(expr),Special Functions|LOGICAL_OR,SELECT LOGICAL_OR(flag) FROM table,SELECT BOOL_OR(flag) FROM table
174,Special Functions,SESSION_USER(),CURRENT_USER(),Special Functions|SESSION_USER,SELECT SESSION_USER(),SELECT CURRENT_USER()
175,String Functions,"CONTAINS_SUBSTR(str, substr)","CONTAINS(str, substr)",String Functions|CONTAINS_SUBSTR,"SELECT CONTAINS_SUBSTR('hello world', 'world')","SELECT CONTAINS('hello world', 'world')"
176,String Functions,"STARTS_WITH(str, prefix)","STARTSWITH(str, prefix)",String Functions|STARTS_WITH,"SELECT STARTS_WITH('hello', 'he')","SELECT STARTSWITH('hello', 'he')"
177,String Functions,"ENDS_WITH(str, suffix)","ENDSWITH(str, suffix)",String Functions|ENDS_WITH,"SELECT ENDS_WITH('hello', 'lo')","SELECT ENDSWITH('hello', 'lo')"
178,Special Functions,TABLESAMPLE SYSTEM (10 PERCENT),TABLESAMPLE(10 PERCENT),Special Functions|TABLESAMPLE,SELECT * FROM my_table TABLESAMPLE SYSTEM (10 PERCENT),SELECT * FROM my_table TABLESAMPLE(10 PERCENT)
179,Array Functions,ARRAY_AGG(column),Collect_list(column),Array Functions|ARRAY_AGG,SELECT ARRAY_AGG(x order by y desc) from table_name,Select collect_list(x) FROM ( SELECT x FROM table_name ORDER BY y desc)

180,Geospatial Functions,ST_AZIMUTH(point1 point2),st_azimuth(point1 point2),Geospatial Functions|ST_AZIMUTH,"SELECT ST_AZIMUTH(point1, point2)","SELECT st_azimuth(point1, point2)"
181,Geospatial Functions,ST_BOUNDARY(geo),st_boundary(geo),Geospatial Functions|ST_BOUNDARY,SELECT ST_BOUNDARY(geo),SELECT st_boundary(geo)
182,Geospatial Functions,"ST_CLOSESTPOINT(geo1, geo2)","st_closestpoint(geo1, geo2)",Geospatial Functions|ST_CLOSESTPOINT,"SELECT ST_CLOSESTPOINT(geo1, geo2)","SELECT st_closestpoint(geo1, geo2)"
183,Geospatial Functions,ST_GEOGFROMEWKT(ewkt),st_geomfromewkt(ewkt),Geospatial Functions|ST_GEOGFROMEWKT,SELECT ST_GEOGFROMEWKT(ewkt),SELECT st_geomfromewkt(ewkt)
184,Geospatial Functions,ST_GEOGFROMTEXT(wkt),st_geomfromwkt(wkt),Geospatial Functions|ST_GEOGFROMTEXT,SELECT ST_GEOGFROMTEXT(wkt),SELECT st_geomfromwkt(wkt)
185,Geospatial Functions,ST_GEOGPOINT(lng lat),st_point(lng lat),Geospatial Functions|ST_GEOGPOINT,"SELECT ST_GEOGPOINT(lng, lat)","SELECT st_point(lng, lat)"
186,Geospatial Functions,ST_DISTANCE(geo1 geo2),st_distance(geo1 geo2),Geospatial Functions|ST_DISTANCE,"SELECT ST_DISTANCE(geo1, geo2)","SELECT st_distance(geo1, geo2)"
187,Geospatial Functions,ST_AREA(geo),st_area(geo),Geospatial Functions|ST_AREA,SELECT ST_AREA(geo),SELECT st_area(geo)
188,Geospatial Functions,ST_CONTAINS(geo1 geo2),st_contains(geo1 geo2),Geospatial Functions|ST_CONTAINS,"SELECT ST_CONTAINS(geo1, geo2)","SELECT st_contains(geo1, geo2)"
189,Geospatial Functions,ST_INTERSECTS(geo1 geo2),st_intersects(geo1 geo2),Geospatial Functions|ST_INTERSECTS,"SELECT ST_INTERSECTS(geo1, geo2)","SELECT st_intersects(geo1, geo2)"
190,Geospatial Functions,ST_ASTEXT(geo),st_astext(geo),Geospatial Functions|ST_ASTEXT,SELECT ST_ASTEXT(geo),SELECT st_astext(geo)
191,Geospatial Functions,ST_ASBINARY(geo),st_asbinary(geo),Geospatial Functions|ST_ASBINARY,SELECT ST_ASBINARY(geo),SELECT st_asbinary(geo)
192,Geospatial Functions,ST_CENTROID(geo),st_centroid(geo),Geospatial Functions|ST_CENTROID,SELECT ST_CENTROID(geo),SELECT st_centroid(geo)
193,Geospatial Functions,ST_UNION(geo1 geo2),st_union(geo1 geo2),Geospatial Functions|ST_UNION,"SELECT ST_UNION(geo1, geo2)","SELECT st_union(geo1, geo2)"
194,Geospatial Functions,ST_BUFFER(geo distance),st_buffer(geo distance),Geospatial Functions|ST_BUFFER,"SELECT ST_BUFFER(geo, distance)","SELECT st_buffer(geo, distance)"
195,Geospatial Functions,ST_WITHIN(geo1 geo2),st_within(geo1 geo2),Geospatial Functions|ST_WITHIN,"SELECT ST_WITHIN(geo1, geo2)","SELECT st_within(geo1, geo2)"
196,Approximate Functions,APPROX_COUNT_DISTINCT(col),APPROX_COUNT_DISTINCT(col),Approximate Functions|APPROX_COUNT_DISTINCT,SELECT APPROX_COUNT_DISTINCT(user_id),SELECT APPROX_COUNT_DISTINCT(user_id)
197,Approximate Functions,"APPROX_TOP_COUNT(col, n)","APPROX_TOP_K(col, n)",Approximate Functions|APPROX_TOP_COUNT,"SELECT APPROX_TOP_COUNT(city, 10)","SELECT APPROX_TOP_K(city, 10)"
198,Bitwise Functions,BIT_AND(col),BIT_AND(col),Bitwise Functions|BIT_AND,SELECT BIT_AND(flags),SELECT BIT_AND(flags)
199,Bitwise Functions,BIT_OR(col),BIT_OR(col),Bitwise Functions|BIT_OR,SELECT BIT_OR(flags),SELECT BIT_OR(flags)
200,Bitwise Functions,BIT_XOR(col),BIT_XOR(col),Bitwise Functions|BIT_XOR,SELECT BIT_XOR(flags),SELECT BIT_XOR(flags)
201,Collation,"STRING COLLATE 'und:ci'",STRING COLLATE UTF8_LCASE,Collation|COLLATE,"CREATE TABLE t (name STRING COLLATE 'und:ci')",CREATE TABLE t (name STRING COLLATE UTF8_LCASE)
202,Collation,"STRING COLLATE 'und:cs'",STRING COLLATE UTF8_BINARY,Collation|COLLATE,"CREATE TABLE t (name STRING COLLATE 'und:cs')",CREATE TABLE t (name STRING COLLATE UTF8_BINARY)
203,Transaction,BEGIN TRANSACTION,BEGIN TRANSACTION,Transaction|BEGIN,BEGIN TRANSACTION,BEGIN TRANSACTION
204,Transaction,COMMIT TRANSACTION,COMMIT TRANSACTION,Transaction|COMMIT,COMMIT TRANSACTION,COMMIT TRANSACTION
205,Transaction,ROLLBACK TRANSACTION,ROLLBACK TRANSACTION,Transaction|ROLLBACK,ROLLBACK TRANSACTION,ROLLBACK TRANSACTION
206,Window Functions,"COUNT(DISTINCT col) OVER (PARTITION BY p1, p2, ...)","-- Rewrite using pre-aggregation CTE and join\nlookup AS (\n  SELECT\n    p1,\n    p2,\n    p3,\n    COUNT(DISTINCT col) AS metric\n  FROM table\n  GROUP BY p1, p2, p3\n)\nSELECT\n  t.*,\n  l.metric\nFROM table t\nJOIN lookup l\n  ON t.p1 = l.p1\n  AND t.p2 = l.p2\n  AND t.p3 = l.p3","Window Functions|COUNT DISTINCT|PARTITION BY|pre-aggregate","SELECT COUNT(DISTINCT col) OVER (PARTITION BY p1, p2, p3) AS metric FROM table","WITH lookup AS (\n  SELECT p1,p2,p3, COUNT(DISTINCT col) AS metric FROM table GROUP BY p1,p2,p3\n) SELECT t.*, l.metric FROM table t JOIN lookup l ON t.p1=l.p1 AND t.p2=l.p2 AND t.p3=l.p3"
